Item_code;Товар;Компонент;Субкомпонент;Weight
137;Блузка женская, шт.;Непродовольственные товары;Одежда и белье;0.00257
138;Ботинки, полуботинки для детей дошкольного возраста, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00078
139;Ботинки, полуботинки для детей школьного возраста, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.0012
141;Брюки для детей школьного возраста из джинсовой ткани, шт.;Непродовольственные товары;Одежда и белье;0.00098
142;Брюки для детей школьного возраста из полушерстяных тканей, шт.;Непродовольственные товары;Одежда и белье;0.00088
143;Брюки женские из полушерстяных или смесовых тканей, шт.;Непродовольственные товары;Одежда и белье;0.00204
144;Брюки мужские из джинсовой ткани (джинсы), шт.;Непродовольственные товары;Одежда и белье;0.00408
145;Брюки мужские из полушерстяных или смесовых тканей, шт.;Непродовольственные товары;Одежда и белье;0.00183
146;Булочные изделия сдобные из муки высшего сорта штучные, кг;Продовольственные товары;Хлеб и хлебобулочные изделия;0.00169
147;Бумага туалетная, рулон;Непродовольственные товары;Другие непродовольственные товары;0.00099
149;Бюстгальтер, шт.;Непродовольственные товары;Галантерея;0.00143
150;Валидол, 60 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00032
152;Варенье, джем, повидло, кг;Продовольственные товары;Другие продовольственные товары;0.00113
154;Вата отечественная, 100 г;Непродовольственные товары;Медицинские товары;0.00014
155;Велосипед для дошкольников, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00107
156;Велосипед дорожный для взрослых, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00059
158;Вермишель, кг;Продовольственные товары;Макаронные и крупяные изделия;0.00142
162;Взносы на капитальный ремонт, м2;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00784
164;Вино виноградное крепленое, л;Продовольственные товары;Алкогольные напитки;0.00134
165;Вино виноградное столовое, л;Продовольственные товары;Алкогольные напитки;0.00172
166;Вино игристое отечественное, л;Продовольственные товары;Алкогольные напитки;0.00136
167;Виноград, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00338
171;Водка, л;Продовольственные товары;Алкогольные напитки;0.0033
172;Водоотведение, м3;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00325
173;Водоснабжение горячее, м3;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00592
174;Водоснабжение холодное, м3;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.0053
181;Выполнение обойных работ, 10 м2;Услуги;Бытовые услуги;0.00103
182;Выполнение работ по облицовке кафельной плиткой, м2;Услуги;Бытовые услуги;0.00119
184;Газ сетевой, м3;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.01097
185;Газ сетевой, месяц с человека;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.0095
189;Газовое моторное топливо, л;Непродовольственные товары;Топливо моторное;0.00226
195;Говядина (кроме бескостного мяса), кг;Продовольственные товары;Мясопродукты;0.01634
196;Говядина бескостная, кг;Продовольственные товары;Мясопродукты;0.01193
197;Годовая стоимость полиса добровольного страхования жилья от стандартных рисков, полис;Услуги;Другие услуги;0.00027
198;Годовая стоимость полиса добровольного страхования легкового автомобиля от стандартных рисков (КАСКО), полис;Услуги;Другие услуги;0.00223
203;Горох и фасоль, кг;Продовольственные товары;Макаронные и крупяные изделия;0.00191
204;Груши, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00292
205;Джемпер для детей школьного возраста, шт.;Непродовольственные товары;Трикотажные изделия;0.00045
206;Джемпер женский, шт.;Непродовольственные товары;Трикотажные изделия;0.00129
207;Джемпер мужской, шт.;Непродовольственные товары;Трикотажные изделия;0.00127
208;Диван-кровать, шт.;Непродовольственные товары;Мебель;0.00253
209;Дизельное топливо, л;Непродовольственные товары;Топливо моторное;0.00286
210;Дом отдыха, пансионат, день;Услуги;Санаторно-оздоровительные услуги;0.00177
211;Дополнительные занятия в государственных и муниципальных общеобразовательных организациях очной формы обучения, академический час;Услуги;Услуги в системе образования;0.00031
212;Дополнительные занятия для детей дошкольного возраста, академический час;Услуги;Услуги в системе образования;0.00189
213;Доска обрезная, м3;Непродовольственные товары;Строительные материалы;0.00153
214;Дрель электрическая, шт.;Непродовольственные товары;Инструменты и оборудование;0.00056
216;Дротаверин (Но-шпа), 40 мг, 100 таблеток;Непродовольственные товары;Медицинские товары;0.00039
218;Еврошифер, 10 м2;Непродовольственные товары;Строительные материалы;0.00011
221;Жевательная резинка, упаковка;Продовольственные товары;Кондитерские изделия;0.00016
223;Жидкие чистящие и моющие средства, л;Непродовольственные товары;Моющие и чистящие средства;0.00353
228;Занятия в плавательных бассейнах, месяц;Услуги;Другие услуги;0.00091
229;Занятия на курсах иностранных языков, академический час;Услуги;Услуги в системе образования;0.00156
230;Занятия на курсах профессионального обучения, академический час;Услуги;Услуги в системе образования;0.00123
